area,bedrooms,bathrooms,floor,age,furnishing,location,price
3774,3,4,3,14,0,Velachery,76267266
1460,1,3,3,0,1,T Nagar,47674819
1894,5,3,1,15,2,OMR,37997102
1730,4,3,4,10,2,T Nagar,54429939
1695,5,2,3,22,1,Tambaram,22387372
3692,2,3,11,19,0,Porur,56995764
2238,4,2,12,5,1,T Nagar,71856587
2769,3,2,0,23,1,Chromepet,36942817
1066,4,3,11,21,2,T Nagar,36135871
1838,3,3,7,15,0,T Nagar,57746599
930,3,2,2,1,1,T Nagar,30506620
2082,4,2,13,0,0,T Nagar,67776851
2735,3,3,5,23,0,Velachery,56620784
3771,3,3,3,23,1,Velachery,76216953
3519,2,4,8,8,0,T Nagar,111574075
730,5,2,6,21,2,Adyar,24161315
2285,5,2,8,11,2,Adyar,71657607
3980,2,4,9,16,2,Velachery,81694910
1369,4,2,2,24,2,OMR,27403723
2991,1,1,0,14,0,Porur,45909693
2115,1,2,4,18,2,Besant Nagar,72325695
3453,1,4,2,21,1,Chromepet,46450141
3033,2,1,5,9,2,Chromepet,41649344
1815,2,3,7,11,1,T Nagar,58306524
1555,3,4,10,13,1,OMR,31439135
2924,1,4,12,8,2,Adyar,89722217
1784,4,3,3,12,2,Adyar,54852597
1059,4,4,4,2,0,OMR,22014710
3985,1,2,4,20,1,Porur,60435355
621,1,3,3,13,2,Velachery,12736643
2900,1,4,3,20,0,Porur,43801044
1347,2,3,3,9,2,Tambaram,18626414
3504,2,3,3,15,2,Tambaram,43220817
1074,2,3,3,6,2,Adyar,34346814
1682,5,1,4,3,1,Besant Nagar,59501251
3158,4,4,1,19,2,Tambaram,39532155
2647,4,1,1,22,0,Adyar,79902475
3347,3,4,8,24,2,T Nagar,105480432
1575,2,2,1,10,2,Guindy,42649488
2406,5,2,5,15,0,Guindy,66985487
789,5,2,1,19,0,Anna Nagar,23222809
3605,4,4,4,3,1,T Nagar,114575958
3334,2,3,3,21,1,Guindy,90972100
3605,3,3,11,21,1,Porur,55453720
1162,2,1,6,22,1,Anna Nagar,33104774
2499,1,1,14,16,0,Adyar,75630455
1867,2,2,6,12,2,OMR,37531095
3479,1,1,12,10,2,OMR,67332327
2128,1,4,5,2,2,Adyar,65754082
3802,3,4,9,8,1,Besant Nagar,130717055
1246,4,1,4,5,0,Adyar,38756478
2668,2,1,0,21,0,Velachery,54047155
3488,1,1,11,20,0,OMR,66736410
2814,2,1,14,10,2,Guindy,77037493
1897,4,2,2,15,1,Chromepet,25524085
3035,4,2,8,18,0,Anna Nagar,85889252
1200,5,1,14,4,1,Besant Nagar,43789815
2963,4,4,13,13,0,Tambaram,38124270
2661,3,2,0,16,1,T Nagar,81673872
841,1,4,4,2,0,Besant Nagar,29773307
2641,5,3,1,3,1,Tambaram,34045819
3424,3,4,3,15,0,Besant Nagar,117184928
3212,2,1,13,15,0,Chromepet,42410762
3545,1,3,13,20,1,Besant Nagar,122195499
1963,4,2,10,24,1,Guindy,54595421
2739,1,2,0,3,2,Adyar,83000208
1990,2,3,2,18,1,Velachery,40536345
3603,5,4,9,16,0,Anna Nagar,102880063
2078,5,2,6,12,0,OMR,41342977
3156,5,1,9,21,1,Tambaram,38717134
1375,4,3,14,22,2,Anna Nagar,40285122
634,3,1,2,23,1,Besant Nagar,22603698
2853,3,3,3,0,0,Adyar,87203716
3752,1,2,1,11,0,Anna Nagar,104941045
2555,4,4,2,3,2,Adyar,78725669
2185,5,3,8,10,1,Tambaram,28930421
3673,5,3,2,4,0,Guindy,100952097
1621,2,1,10,1,0,Guindy,45282451
3213,2,2,4,16,0,Adyar,96636582
1729,5,1,1,7,1,Adyar,53025017
2100,5,2,3,5,1,Velachery,44222223
1302,4,1,11,20,2,T Nagar,41963309
3049,3,3,12,8,0,Velachery,63102562
